"telepules","tipus","kisterseg","megye","regio","id","iskola_neve","Iskola_tipus","utca"
"Lovasberény","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",39011562,"Lovasberényi Református Egyházközség","egyházi jogi személy","Kossuth utca 84."
"Majosháza","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",11521040,"Majosházi Református Egyházközösség","egyházi jogi személy","Kossuth utca 22."
"Makó","HH","Makói","Csongrád","Dél-Alföld",39000791,"Makó-Belvárosi Református Egyházközség","egyházi jogi személy","Kálvin tér 3"
"Makó","HH","Makói","Csongrád","Dél-Alföld",38985752,"Makó-Újvárosi Református Egyházközség","egyházi jogi személy","Szikszai utca 2."
"Malomsok","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",39011068,"Malomsoki Evangélikus Egyházközség","egyházi jogi személy","Kossuth Lajos utca 16."
"Mezőberény","LHH","Békési","Békés","Dél-Alföld",39012089,"Mezőberényi Református Egyházközség","egyházi jogi személy","Kálvin János tér 9"
"Mezőcsát","LHHK","Mezőcsáti","Borsod-Abaúj-Zemplén","Észak-Magyarország",11634040,"Mezőcsáti Református Egyházközség","egyházi jogi személy","Hősök tere 8."
"Mezőtúr","HH","Mezőtúri","Jász-Nagykun-Szolnok","Észak-Alföld",10377040,"Mezőtúri Református Egyházközség","egyházi jogi személy","Petőfi utca 2."
"Miskolc","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",11967040,"Konventuális Ferences Minorita Rend","egyházi jogi személy","Hősök tere 5."
"Miskolc","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",39011399,"Miskolc Felsővárosi Református Egyházközség","egyházi jogi személy","Balázs Győző tér 1."
"Miskolc","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",39000618,"Miskolci Egyházmegye","egyházi jogi személy","Szeles utca 59."
"Miskolc","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",39000711,"Miskolc-Tetemvári Református Egyházközség","egyházi jogi személy","Palóczy L. utca 21."
"Miskolc","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",39011398,"Nyitott Ajtó Baptista Gyülekezet","egyházi jogi személy","Béke utca 6."
"Miskolc","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",11682040,"Tiszáninneni Református Egyházkerület","egyházi jogi személy","Kossuth utca 17."
"Mátészalka","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",39000895,"Mátészalka Kossuth téri Református Egyházközség","egyházi jogi személy","Kossuth tér 1."
"Nagybajom","LHHK","Kadarkúti","Somogy","Dél-Dunántúl",39010642,"Nagybajomi Református Egyházközség","egyházi jogi személy","Fő utca 69"
