"jelentkezesi_hatarido","allas_megnevezese","kozzetevo","tipus","telepules","tipus","kisterseg","megye","regio","egyhazi_iskola"
"2017-11-30","igazgató","Balatonfüred Város Önkormányzata","Közalkalmazott","Balatonfüred","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",1
"2017-12-08","építésfelügyeleti szakügyintéző","Veszprém Megyei Kormányhivatal","Köztisztviselő","Balatonfüred","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",1
"2017-12-08","általános iskolai tanító, napközis nevelő","Balatonfüredi Tankerületi Központ","Közalkalmazott","Balatonfüred","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",1
"2017-12-15","vagyongazdálkodási-jogi referens","Balatonfüredi Tankerületi Központ","Köztisztviselő","Balatonfüred","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",1
"2017-12-15","rajz-vizuális kultúra-művészettörténet szakos középiskolai tanár","Balatonfüredi Tankerületi Központ","Közalkalmazott","Balatonfüred","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",1
"2017-12-06","Testnevelő tanár","Veszprémi Szakképzési Centrum","Közalkalmazott","Balatonfűzfő","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"2017-11-27","Közterület-felügyelő","Balatonkenesei Polgármesteri Hivatal","Köztisztviselő","Balatonkenese","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"2017-12-06","óvodapedagógus","Balatonszabadi Kincskereső Általános Művelődési Központ","Közalkalmazott","Balatonszabadi","nem_hatranyos _besorolasu","Siófoki","Somogy","Dél-Dunántúl",0
"2017-12-04","pénzügyi ügyintéző","Balatonszemesi Közös Önkormányzati Hivatal","Köztisztviselő","Balatonszemes","nem_hatranyos _besorolasu","Balatonföldvári","Somogy","Dél-Dunántúl",0
"2017-11-30","védőnő","Ballószög Község Önkormányzat","Közalkalmazott","Ballószög","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",0
"2017-11-29","pszichológus","Debreceni Tankerületi Központ","Közalkalmazott","Balmazújváros","LHH","Balmazújvárosi","Hajdú-Bihar","Észak-Alföld",1
"2017-12-12","gyógypedagógus","Hajdúböszörményi Tankerületi Központ","Közalkalmazott","Balmazújváros","LHH","Balmazújvárosi","Hajdú-Bihar","Észak-Alföld",1
"2017-11-29","karbantartó","Dunaújvárosi Tankerületi Központ","Közalkalmazott","Baracs","nem_hatranyos _besorolasu","Dunaújvárosi","Fejér","Közép-Dunántúl",0
"2017-12-06","Matematika - bármely szakos középiskolai tanár","Kaposvári Szakképzési Centrum","Közalkalmazott","Barcs","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"2017-12-06","Német nyelv- és irodalom - bármely szakos középiskolai tanár","Kaposvári Szakképzési Centrum","Közalkalmazott","Barcs","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"2017-12-06","Testnevelés - bármely szakos középiskolai tanár","Kaposvári Szakképzési Centrum","Közalkalmazott","Barcs","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"2017-12-06","Történelem - bármely szakos középiskolai tanár","Kaposvári Szakképzési Centrum","Közalkalmazott","Barcs","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"2017-12-06","Angol nyelv- és irodalom - bármely szakos középiskolai tanár","Kaposvári Szakképzési Centrum","Közalkalmazott","Barcs","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"2017-12-06","Természetismeret - német nyelv szakos középiskolai tanár","Kaposvári Szakképzési Centrum","Közalkalmazott","Barcs","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"2017-12-05","igazgatási előadó","Berceli Közös Önkormányzati Hivatal","Köztisztviselő","Becske","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"2017-12-20","óvodapedagógus","Bekecsi Általános Művelődési Központ, Lurkó -ház Napköziotthonos Óvoda, Művelődési Ház","Közalkalmazott","Bekecs","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"2017-11-30","Intézményvezető","Magyarországi Görögök Országos Önkormányzata -Mint intézmény fenntartó","Közalkalmazott","Beloiannisz","nem_hatranyos _besorolasu","Adonyi","Fejér","Közép-Dunántúl",0
"2017-11-24","családsegítő","Berceli """"""""Belső-Cserhát"""""""" Család- és Gyermekjóléti Szolgálat","Közalkalmazott","Bercel","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"2017-11-26","mentálhigiénés munkatárs","Nógrád Megyei Reménysugár Egyesített Szociális Intézmény","Közalkalmazott","Bercel","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"2017-11-30","rendszergazda","Balassagyarmati Tankerületi Központ","Közalkalmazott","Bercel","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"2017-12-15","szociális asszintes","Beregdaróc Község Önkormányzata","Közalkalmazott","Beregdaróc","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"2017-11-23","igazgató","Berente Község Önkormányzata","Közalkalmazott","Berente","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"2017-11-22","nevelő","Bihari Gyermekotthoni Központ","Közalkalmazott","Berettyóújfalu","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"2017-11-22","pszichológus","Bihari Gyermekotthoni Központ","Közalkalmazott","Berettyóújfalu","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"2017-11-23","település gazdálkodási ügyintéző-kertész","Település Ellátó és Szolgáltató Szervezet","Közalkalmazott","Berhida","nem_hatranyos _besorolasu","Várpalotai","Veszprém","Közép-Dunántúl",0
"2017-11-27","óvodapedagógus","Süni Napközi-otthonos Óvoda","Közalkalmazott","Berhida","nem_hatranyos _besorolasu","Várpalotai","Veszprém","Közép-Dunántúl",0
"2017-12-04","Műszaki-településüzemeltetési ügyintéző","Berhidai Közös Önkormányzati Hivatal","Köztisztviselő","Berhida","nem_hatranyos _besorolasu","Várpalotai","Veszprém","Közép-Dunántúl",0
"2017-12-15","Óvodapedagógus","Berkesdi Óvoda Egységes Óvoda-Bölcsőde és Konyha","Közalkalmazott","Berkesd","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"2017-11-24","pszichológus","Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat","Közalkalmazott","Bernecebaráti","nem_hatranyos _besorolasu","Szobi","Pest","Közép-magyarország",0
"2017-11-29","Angol szakos tanár","Kisvárdai Tankerületi Központ","Közalkalmazott","Beszterec","LHH","Ibrány-Nagyhalászi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"2017-12-05","igazgatásügyi előadó","Enesei Közös Önkormányzati Hivatal","Köztisztviselő","Bezi","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"2017-11-26","angol német vagy német-bármely szakos tanár","Érdi Tankerületi Központ","Közalkalmazott","Biatorbágy","nem_hatranyos _besorolasu","Budaörsi","Pest","Közép-magyarország",1
"2017-11-30","Kisgyermeknevelő","Gólyafészek Bölcsőde","Közalkalmazott","Biatorbágy","nem_hatranyos _besorolasu","Budaörsi","Pest","Közép-magyarország",1
