jelentkezesi_hatarido,allas_megnevezese,kozzetevo,munkavegzes_helye,tipus,jelentkezes_statusza,id,van_e_vesszo
2017-11-22,természetvédelmi szakügyintéző,Kecskeméti Járási Hivatal Környezetvédelmi és Természetvédelmi Főosztály Környezetvédelmi és Természetvédelmi Szakértői Osztály,"Bács-Kiskun megye
                             , Kecskemét",Köztisztviselő,,tdxf0wfnd6,1
2017-11-22,2 fő fejlesztő pedagógus,Fejér Megyei Integrált Szociális Intézménye,"Fejér megye
                             , Polgárdi-Tekerespuszta",Közalkalmazott,,tdxg7esnf1,1
2017-11-22,1 fő Intézményvezető ápoló,Fejér Megyei  Integrált Szociális Intézménye,"Fejér megye
                             , Polgárdi-Tekerespuszta",Közalkalmazott,,tdxg7ofxg6,1
2017-11-22,1 fő adminisztrátor,Fejér Megyei  Integrált Szociális Intézménye,"Fejér megye
                             , Bicske",Közalkalmazott,,tdxg6tg3g1,1
2017-11-22,Óvodapedagógus,Nefelejcs Német Nemzetiségi Óvoda,"Fejér megye
                             , Etyek",Közalkalmazott,,tdxg6zkyi0,1
2017-11-22,Regionális szakmai koordinátor,Országos Közegészségügyi Intézet,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdxg5oacj0,1
2017-11-22,érettségi referens,Oktatási Hivatal,"Budapest, Budapest",Köztisztviselő,,tdxg4zgcc4,1
2017-11-22,gépkocsivezető-portás,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Budapest",Közalkalmazott,,tdxg4il7g2,1
2017-11-22,Regionális koordinátor,Országos Közegészségügyi Intézet,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdxg2zsvg8,1
2017-11-22,könyvtáros,Fővárosi Szabó Ervin Könyvtár,"Budapest, Budapest",Közalkalmazott,,tdxh8ea5j8,1
2017-11-22,logopédus (tanár-terapeuta),Eötvös Loránd Tudományegyetem Gyakorló Óvoda és Egységes Gyógypedagógiai Módszertani Intézmény,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdxh8thmd6,1
2017-11-22,iskolapszichológus,Békéscsabai Szakképzési Centrum Kemény Gábor Logisztikai és Közlekedési Szakgimnáziuma,"Békés megye
                             , Békéscsaba",Közalkalmazott,,tdxh0ph3i7,1
2017-11-22,közlekedésmérnök - mérnöktanár,Békéscsabai Szakképzési Centrum Kemény Gábor Logisztikai és Közlekedési Szakgimnáziuma,"Békés megye
                             , Békéscsaba",Közalkalmazott,,tdxi9u13a1,1
2017-11-22,Regionális szakmai koordinátor,Országos Közegészségügyi Intézet,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdxi8wl5j7,1
2017-11-22,Angol nyelvszakos középiskolai tanár,Békéscsabai Szakképzési Centrum Kemény Gábor Logisztikai és Közlekedési Szakgimnáziuma,"Békés megye
                             , Békéscsaba",Közalkalmazott,,tdxi8rsvb6,1
2017-11-22,Regionális szakmai koordinátor,Országos Közegészségügyi Intézet,"Heves megye
                             , Eger",Közalkalmazott,,tdxi7qhcd0,1
2017-11-22,Regionális szakmai koordinátor,Országos Közegészségügyi Intézet,"Baranya megye
                             , Pécs",Közalkalmazott,,tdxi7tdca7,1
2017-11-22,"Építészmérnök szakos, mérnöktanár",Békéscsabai Szakképzési Centrum Vásárhelyi Pál Szakgimnáziuma és Kollégiuma,"Békés megye
                             , Békéscsaba",Közalkalmazott,,tdxi7i1xg4,1
2017-11-22,Rendszergazda,Székesfehérvári Szakképzési Centrum,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdxi6qf7a2,1
2017-11-22,Védőnő,Dunaalmás Község Önkormányzata,"Komárom-Esztergom megye
                             , Neszmély",Közalkalmazott,,tdxi6zfyj8,1
2017-11-22,Épületgépész - mérnöktanár,Békéscsabai Szakképzési Centrum Vásárhelyi Pál Szakgimnáziuma és Kollégiuma,"Békés megye
                             , Békéscsaba",Közalkalmazott,,tdxi6ik3d6,1
2017-11-22,Idősek Klubja vezető,Tarcal Község Önkormányzata Képviselő-testülete,"Borsod-Abaúj-Zemplén megye
                             , Tarcal",Közalkalmazott,,tdxi5zsmf0,1
2017-11-22,közgazdász szakos tanár,Békéscsabai Szakképzési Centrum Széchenyi István Két Tanítási Nyelvű Közgazdasági Szakgimnáziuma és Kollégiuma,"Békés megye
                             , Békéscsaba",Közalkalmazott,,tdxi5uf5i9,1
2017-11-22,közlekedésgépész mérnök - mérnöktanár,Békéscsabai Szakképzési Centrum Kemény Gábor Logisztikai és Közlekedési Szakgimnáziuma,"Békés megye
                             , Békéscsaba",Közalkalmazott,,tdxi4okxj9,1
2017-11-22,Regionális szakmai koordinátor,Országos Közegészségügyi Intézet,"Győr-Moson-Sopron megye
                             , Győr",Közalkalmazott,,tdxi4p1nb8,1
2017-11-22,Regionális szakmai koordinátor,Országos Közegészségügyi Intézet,"Csongrád megye
                             , Szeged",Közalkalmazott,,tdxi3tl3j4,1
2017-11-22,Gazdasági dolgozó,Székesfehérvári Szakképzési Centrum,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdxi3usxb3,1
2017-11-22,Regionális szakmai koordinátor,Országos Közegészségügyi Intézet,"Hajdú-Bihar megye
                             , Debrecen",Közalkalmazott,,tdxi3oh3f1,1
2017-11-22,Regionális koordinátor,Országos Közegészségügyi Intézet,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdxi2ed3c8,1
2017-11-22,Regionális koordinátor ,Országos Közegészségügyi Intézet,"Heves megye
                             , Eger",Közalkalmazott,,tdxi2ogvc3,1
2017-11-22,Regionális koordinátor,Országos Közegészségügyi Intézet,"Baranya megye
                             , Pécs",Közalkalmazott,,tdxi1ql5g1,1
2017-11-22,Regionális koordinátor ,Országos Közegészségügyi Intézet,"Győr-Moson-Sopron megye
                             , Győr",Közalkalmazott,,tdxi1od7j5,1
2017-11-22,Regionális koordinátor,Országos Közegészségügyi Intézet,"Csongrád megye
                             , Szeged",Közalkalmazott,,tdxi0rdxh1,1
2017-11-22,Regionális koordinátor ,Országos Közegészségügyi Intézet,"Hajdú-Bihar megye
                             , Debrecen",Közalkalmazott,,tdxi0tgbj0,1
2017-11-22,Ügyvivő szakértő,Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdxi0pf3i6,1
2017-11-22,Ügyvivő szakértő,Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdxj9qjxa5,1
2017-11-22,adminisztrátor,Magyar Tudományos Akadémia Energiatudományi Kutatóközpont,"Pest megye
                             , Budapest",Közalkalmazott,,tdxj9wlbc4,1
2017-11-22,Ügyvivő szakértő (labormenedzser),Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdxj9ra3e3,1
2017-11-22,Szakápoló (5 fő),Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdxj8qgmh7,1
2017-11-22,alapellátási referens,Emberi Erőforrások Minisztériuma,"Nem_megadott , Nem_megadott",Köztisztviselő,,tdxj2zkmi4,1
2017-11-22,közegészségügyi referens,Emberi Erőforrások Minisztériuma,"Nem_megadott , Nem_megadott",Köztisztviselő,,tdxj1ulnh5,1
